Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
62850	-5802.001529166746	-5791.332301950329	-10.669227216417386	0.9221889922704958	4.35153656743973	0.012906775123598193	0.011439980690546157	73862.8910074639	
62900	-5802.300665989794	-5790.792586790664	-11.508079199129195	0.7516276472950782	4.748335237943247	0.012788201315762287	0.011862723980812583	77302.53124150596	
62950	-5803.343760432357	-5792.025193259281	-11.318567173076563	0.7150413337022652	4.726214462899613	0.012029812001836471	0.012007308037295777	83177.44308516446	
63000	-5805.512808175317	-5792.352066834585	-13.160741340732805	1.2294217217230647	4.631968979846134	0.01290499290071736	0.012007308037295777	77536.57912143134	
63050	-5801.842940214458	-5790.6439307836445	-11.199009430813929	1.058230054758739	4.366731165260554	0.012417433025224434	0.010605544774344798	71173.75999264492	
63100	-5801.653642284169	-5790.228088014642	-11.425554269527343	1.2775894843740703	4.109841773721338	0.012960476974628666	0.010605544774344798	68191.57964573201	
63150	-5800.888397151948	-5790.495868311034	-10.392528840913814	1.0922230163412343	4.048849484381062	0.012896674185718295	0.010563612490925831	68257.98870574914	
63200	-5799.797977338766	-5789.861826374167	-9.93615096459834	0.6120625404934131	3.77646125788434	0.013325261429643527	0.010563612490925831	66062.57187211038	
63250	-5799.590040716082	-5789.792779482554	-9.797261233527973	1.2005046713096794	3.6438925646005194	0.014248029353457483	0.010563612490925831	61784.05582080504	
63300	-5801.819518685164	-5792.256294560075	-9.56322412508993	0.9228595128164551	3.9083492602315517	0.013135757831137622	0.010003869390927053	63464.61264694735	
63350	-5799.884887681397	-5790.019987604498	-9.86490007689937	0.7109996795512199	4.091116590872709	0.012661922472884262	0.010744993022410313	70717.23011402173	
63400	-5799.344893598775	-5789.140688960455	-10.20420463832053	0.9278079047878578	4.234426119724488	0.011516123317886708	0.009804671238042479	70948.87002768529	
63450	-5804.487179257838	-5794.432893394342	-10.054285863496379	1.0709600391347447	4.014241169722112	0.012069518394396397	0.009607402622483002	66333.78889240725	
63500	-5800.988696161784	-5791.136140260708	-9.852555901075998	0.7194523183496084	4.121560201218724	0.012069518394396397	0.010035705921117227	69290.98572384196	
63550	-5805.324018968098	-5796.032645977574	-9.291372990524012	0.7595542803844836	3.8448300881668387	0.011593774867531785	0.009509086264431027	68349.08081477629	
63600	-5802.866192907844	-5792.822160092709	-10.044032815135708	0.7595542803844836	4.2438371947742475	0.011986439800918108	0.010542488214333227	73294.54776559063	
63650	-5804.555637824483	-5794.660101272054	-9.895536552428892	0.7595542803844836	4.19816390404612	0.011614719880772251	0.009512339684948821	68249.16845889782	
63700	-5805.001108927582	-5795.156831511625	-9.84427741595798	0.6499515664199379	4.069618297624452	0.011499891861499334	0.009322350656986056	67553.90086316448	
63750	-5806.2193077263055	-5796.8152932877565	-9.404014438548598	1.0613077743608355	3.875470911403385	0.011700535069815846	0.009322350656986056	66395.47252440866	
63800	-5805.614269906158	-5796.395108197638	-9.21916170852004	0.7061528454571065	3.856187721490636	0.011529359674451749	0.00844735216131688	61056.81783897923	
63850	-5807.107376579045	-5795.992886420473	-11.11449015857223	0.43668738933584544	3.7987509029353435	0.011529359674451749	0.00858373477291296	62042.5809649394	
63900	-5808.221536706047	-5797.709289726511	-10.51224697953577	1.2256283499643263	4.178906991697262	0.009955544595011316	0.008007307673703138	67025.52864959599	
63950	-5805.462876025776	-5796.419496894377	-9.043379131399279	0.8850595512650558	3.6419768939353783	0.011222062531496546	0.008007307673703138	59461.05162063068	
64000	-5807.280842652045	-5796.4425823416195	-10.838260310425742	1.4392237094806228	3.784293009640326	0.010820048016215798	0.008007307673703138	61670.30298527588	
64050	-5806.503649805606	-5797.513719606592	-8.98993019901477	0.9296246760343823	3.5455996016340094	0.011410524429349206	0.007873296027128609	57500.24955672771	
64100	-5806.620898217418	-5796.970580115414	-9.650318102003542	1.058654085679831	3.928018049600011	0.010212715594931525	0.007873296027128609	64244.2253641468	
64150	-5804.916967816877	-5795.190265204398	-9.726702612479066	0.5928699934532454	3.669249409136176	0.009966503892191786	0.007715740779170098	64513.93640330723	
64200	-5804.821022999455	-5795.546229085146	-9.274793914309525	0.7400913495368899	3.669249409136176	0.012469546703197222	0.008786653055934335	58720.74626472064	
